Sofia,42.7000,23.3300,Bulgaria,BG,Sofia-Grad,primary,1547779,1276956
Plovdiv,42.1500,24.7500,Bulgaria,BG,Plovdiv,admin,383540,383540
Varna,43.2167,27.9167,Bulgaria,BG,Varna,admin,348668,348668
Burgas,42.5030,27.4702,Bulgaria,BG,Burgas,admin,210813,210813
Ruse,43.8231,25.9539,Bulgaria,BG,Ruse,admin,143931,143325
Stara Zagora,42.4333,25.6500,Bulgaria,BG,Stara Zagora,admin,136475,136144
Pleven,43.4078,24.6203,Bulgaria,BG,Pleven,admin,119596,119596
Sliven,42.6833,26.3333,Bulgaria,BG,Sliven,admin,115241,89355
Pazardzhik,42.2000,24.3333,Bulgaria,BG,Pazardzhik,admin,103681,74950
Pernik,42.6000,23.0333,Bulgaria,BG,Pernik,admin,97181,74066
Dobrich,43.5667,27.8333,Bulgaria,BG,Dobrich,admin,90419,89701
Shumen,43.2833,26.9333,Bulgaria,BG,Shumen,admin,85410,82193
Veliko Tarnovo,43.0778,25.6167,Bulgaria,BG,Veliko Tarnovo,admin,84801,66797
Haskovo,41.9333,25.5667,Bulgaria,BG,Haskovo,admin,83682,71229
Blagoevgrad,42.0119,23.0897,Bulgaria,BG,Blagoevgrad,admin,73463,73341
Yambol,42.4833,26.5000,Bulgaria,BG,Yambol,admin,70782,70588
Kazanlak,42.6167,25.4000,Bulgaria,BG,Stara Zagora,,66169,48989
Asenovgrad,42.0167,24.8667,Bulgaria,BG,Plovdiv,,65962,58986
Vratsa,43.2000,23.5500,Bulgaria,BG,Vratsa,admin,61702,56852
Kyustendil,42.2833,22.6833,Bulgaria,BG,Kyustendil,admin,60681,44515
Gabrovo,42.8667,25.3333,Bulgaria,BG,Gabrovo,admin,54608,52477
Targovishte,43.2500,26.5833,Bulgaria,BG,Targovishte,admin,53041,39998
Kardzhali,41.6500,25.3667,Bulgaria,BG,Kardzhali,admin,51841,51841
Vidin,44.0000,22.8667,Bulgaria,BG,Vidin,admin,50274,45583
Razgrad,43.5333,26.5167,Bulgaria,BG,Razgrad,admin,44894,32917
Svishtov,43.6167,25.3500,Bulgaria,BG,Veliko Tarnovo,minor,44359,23325
Silistra,44.1172,27.2606,Bulgaria,BG,Silistra,admin,43265,34205
Lovech,43.1347,24.7172,Bulgaria,BG,Lovech,admin,40516,32832
Montana,43.4075,23.2217,Bulgaria,BG,Montana,admin,40295,40044
Dimitrovgrad,42.0500,25.6000,Bulgaria,BG,Haskovo,,35507,34990
Dupnitsa,42.2650,23.1185,Bulgaria,BG,Kyustendil,,34653,34339
Smolyan,41.5833,24.7000,Bulgaria,BG,Smolyan,admin,34465,28268
Gorna Oryahovitsa,43.1333,25.7000,Bulgaria,BG,Veliko Tarnovo,,30413,30169
Petrich,41.3953,23.2069,Bulgaria,BG,Blagoevgrad,,29727,29630
Gotse Delchev,41.5667,23.7333,Bulgaria,BG,Blagoevgrad,,29585,20145
Aytos,42.7000,27.2500,Bulgaria,BG,Burgas,,27326,22252
Omurtag,43.1000,26.4170,Bulgaria,BG,Targovishte,,24876,9139
Velingrad,42.0167,24.0000,Bulgaria,BG,Pazardzhik,minor,24154,24154
Isperih,43.7167,26.8333,Bulgaria,BG,Razgrad,,22556,8523
